year,age,pop,pop_male,pop_female
1920,0-4,7457715,3752627,3705088
1920,5-9,6856920,3467156,3389764
1920,10-14,6101567,3089225,3012342
1920,15-19,5419057,2749022,2670035
1920,20-24,4609310,2316479,2292831
1920,25-29,3923949,2008005,1915944
1920,30-34,3609450,1833443,1776007
1920,35-39,3410738,1707771,1702967
1920,40-44,3243764,1640254,1603510
1920,45-49,2658567,1340404,1318163
1920,50-54,2234762,1122240,1112522
1920,55-59,1840093,912085,928008
1920,60-64,1655805,803033,852772
1920,65-69,1312537,614479,698058
1920,70-74,896618,399540,497078
1920,75-79,482012,198253,283759
1920,80-84,174183,65473,108710
1920,85+,76006,24696,51310
1925,0-4,8264583,4160479,4104104
1925,5-9,6924432,3491171,3433261
1925,10-14,6735030,3410991,3324039
1925,15-19,5885277,2988370,2896907
1925,20-24,5060527,2574799,2485728
1925,25-29,4393471,2256502,2136969
1925,30-34,3716087,1920177,1795910
1925,35-39,3449377,1768538,1680839
1925,40-44,3221765,1624224,1597541
1925,45-49,3055149,1539488,1515661
1925,50-54,2450903,1223831,1227072
1925,55-59,1990817,981235,1009582
1925,60-64,1568341,754000,814341
1925,65-69,1294340,601475,692865
1925,70-74,919180,403555,515625
1925,75-79,523014,213632,309382
1925,80-84,215834,79096,136738
1925,85+,68695,21546,47149
1930,0-4,9011135,4543442,4467693
1930,5-9,7767085,3914786,3852299
1930,10-14,6801045,3436560,3364485
1930,15-19,6539604,3318663,3220941
1930,20-24,5531506,2815406,2716100
1930,25-29,4835634,2480757,2354877
1930,30-34,4213665,2175040,2038625
1930,35-39,3584833,1856905,1727928
1930,40-44,3286478,1687934,1598544
1930,45-49,3046263,1525157,1521106
1930,50-54,2830694,1410576,1420118
1930,55-59,2216103,1085866,1130237
1930,60-64,1722085,820315,901770
1930,65-69,1255830,577193,678637
1930,70-74,926601,403984,522617
1930,75-79,551718,222451,329267
1930,80-84,245461,89183,156278
1930,85+,84265,25937,58328
1935,0-4,9328501,4714001,4614500
1935,5-9,8531419,4303263,4228156
1935,10-14,7685247,3876774,3808473
1935,15-19,6640917,3350713,3290204
1935,20-24,6071071,3036783,3034288
1935,25-29,5240083,2670248,2569835
1935,30-34,4632637,2379492,2253145
1935,35-39,4045846,2093446,1952400
1935,40-44,3406011,1767627,1638384
1935,45-49,3112834,1591179,1521655
1935,50-54,2832875,1404376,1428499
1935,55-59,2571137,1255092,1316045
1935,60-64,1930611,916820,1013791
1935,65-69,1387092,630008,757084
1935,70-74,913423,394223,519200
1935,75-79,561804,224829,336975
1935,80-84,263979,95043,168936
1935,85+,98661,30216,68445
1940,0-4,9128009,4619512,4508497
1940,5-9,8833598,4463439,4370159
1940,10-14,8407101,4242585,4164516
1940,15-19,7409277,3717483,3691794
1940,20-24,6103653,3057395,3046258
1940,25-29,5653184,2837267,2815917
1940,30-34,4947256,2507243,2440013
1940,35-39,4422887,2260747,2162140
1940,40-44,3834058,1976906,1857152
1940,45-49,3207212,1649661,1557551
1940,50-54,2887219,1456632,1430587
1940,55-59,2559541,1240737,1318804
1940,60-64,2227412,1049207,1178205
1940,65-69,1555162,702545,852617
1940,70-74,994906,421186,573720
1940,75-79,546408,215952,330456
1940,80-84,254127,90602,163525
1940,85+,103099,31023,72076
1945,0-4,9250418,4682797,4567621
1945,5-9,8581401,4338961,4242440
1945,10-14,8645267,4365844,4279423
1945,15-19,7820530,3849481,3971049
1945,20-24,5464684,2024120,3440564
1945,25-29,4415159,1603664,2811495
1945,30-34,4447337,1805587,2641750
1945,35-39,4307705,1982773,2324932
1945,40-44,4090208,2046909,2043299
1945,45-49,3586926,1829696,1757230
1945,50-54,2948808,1506234,1442574
1945,55-59,2597278,1289547,1307731
1945,60-64,2142268,1005064,1137204
1945,65-69,1732394,775188,957206
1945,70-74,1095138,462867,632271
1945,75-79,551891,214842,337049
1945,80-84,236741,84073,152668
1945,85+,83951,26412,57539
1950,0-4,11350580,5792551,5558029
1950,5-9,9624478,4877311,4747167
1950,10-14,8811354,4456939,4354415
1950,15-19,8669445,4367794,4301651
1950,20-24,7804536,3871815,3932721
1950,25-29,6246288,2847983,3398305
1950,30-34,5254401,2382599,2871802
1950,35-39,5095018,2396611,2698407
1950,40-44,4525471,2217547,2307924
1950,45-49,4042374,2035222,2007152
1950,50-54,3421396,1733836,1687560
1950,55-59,2780034,1392572,1387462
1950,60-64,2329349,1120403,1208946
1950,65-69,1789948,803800,986148
1950,70-74,1295651,545748,749903
1950,75-79,693679,270523,423156
1950,80-84,279254,96600,182654
1950,85+,96512,29003,67509
1955,0-4,9381512,4794426,4587086
1955,5-9,11156015,5694447,5461568
1955,10-14,9585370,4855556,4729814
1955,15-19,8709075,4383128,4325947
1955,20-24,8475954,4231701,4244253
1955,25-29,7663079,3802724,3860355
1955,30-34,6162622,2817154,3345468
1955,35-39,5154689,2336529,2818160
1955,40-44,4980506,2340429,2640077
1955,45-49,4397993,2149102,2248891
1955,50-54,3876779,1941081,1935698
1955,55-59,3228362,1617760,1610602
1955,60-64,2517556,1235983,1281573
1955,65-69,1982599,925400,1057199
1955,70-74,1392662,593776,798886
1955,75-79,875701,342059,533642
1955,80-84,377787,133192,244595
1955,85+,134122,39681,94441
1960,0-4,7964828,4073749,3891079
1960,5-9,9339141,4770578,4568563
1960,10-14,11130190,5677909,5452281
1960,15-19,9379673,4713854,4665819
1960,20-24,8390982,4160096,4230886
1960,25-29,8279524,4129166,4150358
1960,30-34,7575693,3774040,3801653
1960,35-39,6083135,2782870,3300265
1960,40-44,5057947,2291120,2766827
1960,45-49,4850813,2271959,2578854
1960,50-54,4231204,2053737,2177467
1960,55-59,3667376,1813371,1854005
1960,60-64,2953008,1446757,1506251
1960,65-69,2179290,1035042,1144248
1960,70-74,1577027,698672,878355
1960,75-79,963397,379767,583630
1960,80-84,487663,170599,317064
1960,85+,190603,57103,133500
1965,0-4,8241607,4204772,4036835
1965,5-9,7970120,4056194,3913926
1965,10-14,9317503,4738325,4579178
1965,15-19,10947996,5527355,5420641
1965,20-24,9127519,4523969,4603550
1965,25-29,8435227,4191561,4243666
1965,30-34,8324917,4180969,4143948
1965,35-39,7553997,3773472,3780525
1965,40-44,6005021,2748642,3256379
1965,45-49,4959332,2240740,2718592
1965,50-54,4691471,2187487,2503984
1965,55-59,4030134,1942543,2087591
1965,60-64,3368628,1635046,1733582
1965,65-69,2581466,1226741,1354725
1965,70-74,1760618,795372,965246
1965,75-79,1106137,455411,650726
1965,80-84,533914,188750,345164
1965,85+,253479,74765,178714
1970,0-4,8907564,4564915,4342649
1970,5-9,8267336,4225903,4041433
1970,10-14,7977879,4066571,3911308
1970,15-19,9167044,4622873,4544171
1970,20-24,10727636,5344885,5382751
1970,25-29,9148198,4545780,4602418
1970,30-34,8441333,4215776,4225557
1970,35-39,8272842,4154678,4118164
1970,40-44,7393628,3690875,3702753
1970,45-49,5919697,2696819,3222878
1970,50-54,4841390,2172383,2669007
1970,55-59,4455213,2055135,2400078
1970,60-64,3752119,1766393,1985726
1970,65-69,3005586,1407870,1597716
1970,70-74,2150406,968076,1182330
1970,75-79,1280431,536369,744062
1970,80-84,656578,243532,413046
1970,85+,300291,90344,209947
1975,0-4,10000607,5127359,4873248
1975,5-9,8938021,4583653,4354368
1975,10-14,8282064,4237041,4045023
1975,15-19,7948546,4040280,3908266
1975,20-24,9071509,4563526,4507983
1975,25-29,10794583,5426289,5368294
1975,30-34,9245791,4624591,4621200
1975,35-39,8422320,4212566,4209754
1975,40-44,8224070,4125063,4099007
1975,45-49,7361410,3656501,3704909
1975,50-54,5781705,2616771,3164934
1975,55-59,4673649,2072676,2600973
1975,60-64,4283734,1935823,2347911
1975,65-69,3449037,1571228,1877809
1975,70-74,2575882,1147922,1427960
1975,75-79,1641007,688306,952701
1975,80-84,808703,307763,500940
1975,85+,390800,122647,268153
1980,0-4,8515416,4366100,4149316
1980,5-9,10032034,5142487,4889547
1980,10-14,8959628,4594813,4364815
1980,15-19,8272245,4223685,4048560
1980,20-24,7841026,3960116,3880910
1980,25-29,9041355,4545468,4495887
1980,30-34,10771731,5421545,5350186
1980,35-39,9201581,4594716,4606865
1980,40-44,8337500,4158990,4178510
1980,45-49,8090387,4033146,4057241
1980,50-54,7200022,3546963,3653059
1980,55-59,5613505,2511379,3102126
1980,60-64,4465247,1945930,2519317
1980,65-69,3964681,1743659,2221022
1980,70-74,3022977,1317661,1705316
1980,75-79,2036685,848714,1187971
1980,80-84,1093643,417715,675928
1980,85+,529370,171959,357411
1985,0-4,7459263,3818777,3640486
1985,5-9,8531834,4373058,4158776
1985,10-14,10042121,5146970,4895151
1985,15-19,8979947,4600427,4379520
1985,20-24,8200554,4165995,4034559
1985,25-29,7823402,3948330,3875072
1985,30-34,9054224,4558265,4495959
1985,35-39,10738044,5398230,5339814
1985,40-44,9134954,4551877,4583077
1985,45-49,8236614,4092121,4144493
1985,50-54,7932994,3926414,4006580
1985,55-59,6999745,3409374,3590371
1985,60-64,5405538,2379902,3025636
1985,65-69,4193419,1781008,2412411
1985,70-74,3563397,1503595,2059802
1985,75-79,2493343,1017428,1475915
1985,80-84,1432937,542243,890694
1985,85+,785247,255975,529272
1990,0-4,6492897,3326039,3166858
1990,5-9,7466557,3821833,3644724
1990,10-14,8526785,4369880,4156905
1990,15-19,10007087,5122215,4884872
1990,20-24,8800121,4468199,4331922
1990,25-29,8070713,4078469,3992244
1990,30-34,7787685,3925353,3862332
1990,35-39,9003780,4524829,4478951
1990,40-44,10658290,5349985,5308305
1990,45-49,9018012,4482298,4535714
1990,50-54,8088386,3997248,4091138
1990,55-59,7724888,3783367,3941521
1990,60-64,6745014,3236549,3508465
1990,65-69,5103576,2194783,2908793
1990,70-74,3817534,1559972,2257562
1990,75-79,3018213,1197457,1820756
1990,80-84,1832858,678385,1154473
1990,85+,1122414,357040,765374
1995,0-4,5995254,3070015,2925239
1995,5-9,6540671,3349827,3190844
1995,10-14,7477805,3826968,3650837
1995,15-19,8557958,4385775,4172183
1995,20-24,9895001,5041228,4853773
1995,25-29,8788141,4452125,4336016
1995,30-34,8126455,4113849,4012606
1995,35-39,7822221,3945809,3876412
1995,40-44,9006072,4527352,4478720
1995,45-49,10618366,5328335,5290031
1995,50-54,8921918,4421787,4500131
1995,55-59,7953480,3906621,4046859
1995,60-64,7475109,3611948,3863161
1995,65-69,6396078,2998706,3397372
1995,70-74,4695167,1941558,2753609
