"å≥çÜ","òaóÔÅiîNÅj","êºóÔÅiîNÅj","îNóÓ5çŒäKãâ","êlå˚ÅiëçêîÅj","êlå˚ÅiíjÅj","êlå˚ÅièóÅj"
"ëÂê≥",9,1920,"ëçêî",55963053,28044185,27918868
"ëÂê≥",9,1920,"0Å`4çŒ",7457715,3752627,3705088
"ëÂê≥",9,1920,"5Å`9çŒ",6856920,3467156,3389764
"ëÂê≥",9,1920,"10Å`14çŒ",6101567,3089225,3012342
"ëÂê≥",9,1920,"15Å`19çŒ",5419057,2749022,2670035
"ëÂê≥",9,1920,"20Å`24çŒ",4609310,2316479,2292831
"ëÂê≥",9,1920,"25Å`29çŒ",3923949,2008005,1915944
"ëÂê≥",9,1920,"30Å`34çŒ",3609450,1833443,1776007
"ëÂê≥",9,1920,"35Å`39çŒ",3410738,1707771,1702967
"ëÂê≥",9,1920,"40Å`44çŒ",3243764,1640254,1603510
"ëÂê≥",9,1920,"45Å`49çŒ",2658567,1340404,1318163
"ëÂê≥",9,1920,"50Å`54çŒ",2234762,1122240,1112522
"ëÂê≥",9,1920,"55Å`59çŒ",1840093,912085,928008
"ëÂê≥",9,1920,"60Å`64çŒ",1655805,803033,852772
"ëÂê≥",9,1920,"65Å`69çŒ",1312537,614479,698058
"ëÂê≥",9,1920,"70Å`74çŒ",896618,399540,497078
"ëÂê≥",9,1920,"75Å`79çŒ",482012,198253,283759
"ëÂê≥",9,1920,"80Å`84çŒ",174183,65473,108710
"ëÂê≥",9,1920,"85çŒà»è„",76006,24696,51310
"ëÂê≥",14,1925,"ëçêî",59736822,30013109,29723713
"ëÂê≥",14,1925,"0Å`4çŒ",8264583,4160479,4104104
"ëÂê≥",14,1925,"5Å`9çŒ",6924432,3491171,3433261
"ëÂê≥",14,1925,"10Å`14çŒ",6735030,3410991,3324039
"ëÂê≥",14,1925,"15Å`19çŒ",5885277,2988370,2896907
"ëÂê≥",14,1925,"20Å`24çŒ",5060527,2574799,2485728
"ëÂê≥",14,1925,"25Å`29çŒ",4393471,2256502,2136969
"ëÂê≥",14,1925,"30Å`34çŒ",3716087,1920177,1795910
"ëÂê≥",14,1925,"35Å`39çŒ",3449377,1768538,1680839
"ëÂê≥",14,1925,"40Å`44çŒ",3221765,1624224,1597541
"ëÂê≥",14,1925,"45Å`49çŒ",3055149,1539488,1515661
"ëÂê≥",14,1925,"50Å`54çŒ",2450903,1223831,1227072
"ëÂê≥",14,1925,"55Å`59çŒ",1990817,981235,1009582
"ëÂê≥",14,1925,"60Å`64çŒ",1568341,754000,814341
"ëÂê≥",14,1925,"65Å`69çŒ",1294340,601475,692865
"ëÂê≥",14,1925,"70Å`74çŒ",919180,403555,515625
"ëÂê≥",14,1925,"75Å`79çŒ",523014,213632,309382
"ëÂê≥",14,1925,"80Å`84çŒ",215834,79096,136738
"ëÂê≥",14,1925,"85çŒà»è„",68695,21546,47149
"è∫òa",5,1930,"ëçêî",64450005,32390155,32059850
"è∫òa",5,1930,"0Å`4çŒ",9011135,4543442,4467693
"è∫òa",5,1930,"5Å`9çŒ",7767085,3914786,3852299
"è∫òa",5,1930,"10Å`14çŒ",6801045,3436560,3364485
