ssm1995,ssmocc_current,censusocc_current
501,1,1
502,1,1
503,1,1
504,1,1
505,1,1
506,1,1
507,1,1
508,1,1
509,1,1
510,1,1
511,1,1
512,1,1
513,1,1
514,1,1
515,1,1
516,1,1
517,1,1
518,1,1
519,1,1
520,1,1
521,1,1
522,1,1
523,1,1
524,1,1
525,1,1
526,1,1
527,1,1
528,1,1
529,1,1
530,1,1
531,1,1
532,1,1
533,1,1
534,1,1
535,1,1
536,1,1
537,1,1
538,1,1
539,1,1
540,1,1
541,1,1
542,1,1
543,1,1
544,1,1
545,2,2
546,2,2
547,2,2
548,2,2
549,2,2
550,2,2
551,2,2
552,2,2
553,2,2
554,3,3
555,3,3
556,3,3
557,3,3
558,3,3
559,3,3
560,3,3
561,3,3
562,3,3
563,3,3
564,3,3
565,3,3
566,4,4
567,4,4
568,4,4
569,4,4
570,4,4
571,4,4
572,4,4
573,4,4
574,4,4
575,4,4
576,4,4
577,4,4
578,7,5
579,5,5
580,6,5
581,5,5
582,4,5
583,4,5
584,4,5
585,4,5
586,3,5
587,4,5
588,4,5
589,4,5
590,3,5
591,7,5
592,7,5
593,3,6
594,3,6
595,3,6
596,3,6
597,3,6
598,3,6
599,8,7
600,8,7
601,8,7
602,8,7
603,8,7
604,8,7
605,8,7
606,6,8
607,6,8
608,2,8
609,1,8
610,1,8
611,6,8
612,6,8
613,6,8
614,6,8
615,1,8
616,3,8
617,3,8
618,3,8
619,3,8
620,7,9
621,7,9
622,7,9
623,5,10
624,5,10
625,6,10
626,5,10
627,6,10
628,5,10
629,6,10
630,6,11
631,5,11
632,6,11
633,5,11
634,6,11
635,5,11
636,5,11
637,5,11
638,5,11
639,5,11
640,5,11
641,5,11
642,5,11
643,5,12
644,5,12
645,6,12
646,6,12
647,5,12
648,6,12
649,6,12
650,6,12
651,5,12
652,6,12
653,6,12
654,5,12
655,5,12
656,5,12
657,6,12
658,5,12
659,6,12
660,5,12
661,5,12
662,5,12
663,5,12
664,5,12
665,5,12
666,5,12
667,6,12
668,5,12
669,6,12
670,5,12
671,5,12
672,6,12
673,5,13
674,5,13
675,5,13
676,6,13
677,5,13
678,5,14
679,5,14
680,5,14
681,5,14
682,7,14
683,7,14
684,5,14
685,7,15
686,7,15
687,7,15
688,7,15
689, , 
691,2,2
701,4,4
702,5,14
703,1,1
704,6,12
705, ,3
706,7,15
707, , 
801,6,5
802,6,5
803,4,4
804,4,4
805,1,1
806,6,5
999, , 
8888, , 
9999, , 
